"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"RP11-693J15.5",3.54631014789515e-123,1.23779674277741,0.667,0,4.49282032636836e-119,"B cells","RP11-693J15.5"
"BANK1",1.66308042801167e-110,1.77776388881154,0.917,0.007,2.10695659424799e-106,"B cells","BANK1"
"TCL1A",1.0442003104027e-109,2.39130259475045,0.667,0.001,1.32289737324918e-105,"B cells","TCL1A"
"CD22",3.45509201829925e-109,1.60516037629748,0.667,0.001,4.37725607798332e-105,"B cells","CD22"
"VPREB3",6.79133007261509e-108,1.54258215764093,0.583,0,8.60393606899606e-104,"B cells","VPREB3"
"MS4A1",9.35016682283688e-105,2.45369036926242,0.917,0.008,1.1845726347852e-100,"B cells","MS4A1"
"BCL11A",5.01129951364975e-82,1.00681050447582,0.667,0.005,6.34881535384287e-78,"B cells","BCL11A"
"SLC38A11",2.00749924230897e-77,0.868166698599305,0.417,0,2.54330079008124e-73,"B cells","SLC38A11"
"FCRL2",2.00749924230897e-77,0.822631257800661,0.417,0,2.54330079008124e-73,"B cells","FCRL2"
"LINC00926",1.08249372301951e-64,0.876759066619498,0.417,0.001,1.37141129769342e-60,"B cells","LINC00926"
"FAM129C",1.08249372301951e-64,0.770634376934942,0.417,0.001,1.37141129769342e-60,"B cells","FAM129C"
"CD200",1.43188313597322e-64,0.826681502720732,0.417,0.001,1.81405274496447e-60,"B cells","CD200"
"CD79A",2.78270845334215e-63,2.3534703858799,0.833,0.018,3.52541333953917e-59,"B cells","CD79A"
"AC079767.4",3.13095060039218e-62,0.888459187676581,0.333,0,3.96660131563685e-58,"B cells","AC079767.4"
"CD19",3.13095060039218e-62,0.829490393026384,0.333,0,3.96660131563685e-58,"B cells","CD19"
"EBF1",3.13095060039218e-62,0.651592737169584,0.333,0,3.96660131563685e-58,"B cells","EBF1"
"FCRLA",3.13095060039218e-62,0.5807635541603,0.333,0,3.96660131563685e-58,"B cells","FCRLA"
"ADAM28",9.31700555513455e-56,1.09226224131825,0.5,0.005,1.18037143378e-51,"B cells","ADAM28"
"KIAA0125",1.53430153109586e-55,0.963594878045334,0.417,0.002,1.94380660974534e-51,"B cells","KIAA0125"
"CPNE5",5.70418507401012e-50,0.665356670448837,0.333,0.001,7.22663207026342e-46,"B cells","CPNE5"
"PCDH9",6.52320283033629e-50,0.53057020518853,0.333,0.001,8.26424566575305e-46,"B cells","PCDH9"
"BLNK",8.65388441590082e-42,0.7643146536952,0.333,0.002,1.09636061665047e-37,"B cells","BLNK"
"C1orf186",8.65388441590082e-42,0.531864079540731,0.333,0.002,1.09636061665047e-37,"B cells","C1orf186"
"CD180",3.39105208327324e-39,0.758392342632786,0.417,0.006,4.29612388429886e-35,"B cells","CD180"
"GNG7",4.36187918311912e-39,0.847114976780296,0.417,0.006,5.52606473709361e-35,"B cells","GNG7"
"FCER2",8.14207775042319e-36,0.793456501251669,0.333,0.004,1.03151983020111e-31,"B cells","FCER2"
"AFF3",8.63574981053974e-35,0.765723426982225,0.5,0.012,1.09406314349728e-30,"B cells","AFF3"
"MEF2C",2.61715901628155e-34,1.77734444113339,0.917,0.053,3.31567875772709e-30,"B cells","MEF2C"
"HLA-DQA1",3.59156472367616e-31,1.88829168296016,1,0.078,4.55015334842533e-27,"B cells","HLA-DQA1"
"RALGPS2",6.34412379999198e-28,0.91283186944522,0.5,0.017,8.03737044220985e-24,"B cells","RALGPS2"
"EAF2",6.09831373286592e-27,1.37731850280001,0.667,0.036,7.72595366816783e-23,"B cells","EAF2"
"HLA-DQA2",1.7956556693867e-25,1.69303147880767,0.833,0.064,2.27491616754601e-21,"B cells","HLA-DQA2"
"PKIG",3.42395970569872e-25,0.874634106257973,0.333,0.007,4.3378145511497e-21,"B cells","PKIG"
"IRF8",4.39172530940837e-25,1.48352583331272,0.917,0.081,5.56387679448946e-21,"B cells","IRF8"
"HLA-DMB",3.83308357174835e-23,1.45355564869008,0.917,0.087,4.85613357704799e-19,"B cells","HLA-DMB"
"PPAPDC1B",8.7424126170314e-22,1.33440623150527,0.667,0.046,1.10757625445171e-17,"B cells","PPAPDC1B"
"RNASE6",1.57242764341218e-21,1.16819899807977,0.667,0.047,1.99210858143889e-17,"B cells","RNASE6"
"CD79B",2.24748351690467e-21,1.94240282249685,0.917,0.104,2.84733686756652e-17,"B cells","CD79B"
"CTA-250D10.23",5.09876992903988e-21,0.792511742918655,0.333,0.01,6.45963162310063e-17,"B cells","CTA-250D10.23"
"SWAP70",4.82993604940682e-20,0.867693022475268,0.5,0.027,6.11904598099351e-16,"B cells","SWAP70"
"HLA-DOB",9.08364746728203e-20,0.975935348911134,0.417,0.018,1.15080729762996e-15,"B cells","HLA-DOB"
"STAP1",3.71255573288734e-19,0.564616524022252,0.417,0.018,4.70343685799497e-15,"B cells","STAP1"
"SNX29P2",2.92657731648011e-18,0.914106079757106,0.583,0.042,3.70768080224865e-14,"B cells","SNX29P2"
"CD72",3.06777886852111e-18,0.90396959050759,0.333,0.012,3.8865690485294e-14,"B cells","CD72"
"PDLIM1",3.14572679130145e-18,0.564659852176571,0.417,0.019,3.98532127189981e-14,"B cells","PDLIM1"
