"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"TXK1",3.50419023095624e-09,0.329160334478764,0.259,0.092,5.2853701253513e-05,"NKT","TXK"
"SUPT3H",3.7349208023531e-09,0.342389917919958,0.278,0.107,5.63338104618919e-05,"NKT","SUPT3H"
"SYTL11",4.76291154750876e-09,0.409480101997334,0.463,0.256,7.18389948710746e-05,"NKT","SYTL1"
"RPSA1",5.2652960459987e-09,0.337654208002894,0.991,0.763,7.94164602617985e-05,"NKT","RPSA"
"RPS51",5.79435352948181e-09,0.283689300077913,0.991,0.795,8.73962342851741e-05,"NKT","RPS5"
"MIF2",5.97701559846518e-09,0.426135928306725,0.75,0.539,9.01513262716504e-05,"NKT","MIF"
"ATM1",6.03964536059715e-09,0.520205678224346,0.565,0.366,9.10959709738868e-05,"NKT","ATM"
"CYCS",6.9585343256858e-09,0.348874855594959,0.648,0.437,0.000104955573234319,"NKT","CYCS"
"CD52",9.73242927224422e-09,0.276563953388165,1,0.704,0.00014679423071326,"NKT","CD52"
"TRAF3IP31",1.06748137770835e-08,0.309552831054746,0.815,0.577,0.00016100821619975,"NKT","TRAF3IP3"
"C9orf1421",1.06763832254069e-08,0.458902492328434,0.593,0.405,0.000161031888188812,"NKT","C9orf142"
"RPL181",1.14890356728702e-08,0.284069393238944,0.991,0.801,0.000173289125053901,"NKT","RPL18"
"ZNF4281",1.31554521825884e-08,0.322005327239126,0.454,0.255,0.000198423685269981,"NKT","ZNF428"
"ACAP11",1.34121516049617e-08,0.376166101182942,0.685,0.469,0.000202295482657638,"NKT","ACAP1"
"DIP2A1",1.36036542452866e-08,0.410367844143222,0.417,0.217,0.000205183916981658,"NKT","DIP2A"
"CIRBP2",1.3936683945307e-08,0.402956503092523,0.685,0.514,0.000210207003947065,"NKT","CIRBP"
"GIMAP5",1.48741185062815e-08,0.402896470851353,0.731,0.488,0.000224346329430245,"NKT","GIMAP5"
"RASAL31",1.81361982271071e-08,0.434987319362989,0.454,0.251,0.000273548277859457,"NKT","RASAL3"
"RPL381",2.11672840466559e-08,0.278031364605666,0.991,0.825,0.00031926614527571,"NKT","RPL38"
"RARRES31",2.30908964289357e-08,0.299688396161911,0.944,0.74,0.000348279990837638,"NKT","RARRES3"
"OFD12",2.74418496315425e-08,0.426810028562799,0.472,0.277,0.000413905417992556,"NKT","OFD1"
"KLF21",3.17186080871391e-08,0.323933675640883,0.824,0.581,0.000478411765778319,"NKT","KLF2"
"SON1",3.23224335541173e-08,0.328166669464835,0.852,0.659,0.000487519265296751,"NKT","SON"
"GPR651",3.51473263486789e-08,0.323986342981454,0.435,0.238,0.000530127123317124,"NKT","GPR65"
"RPS22",3.65311273629941e-08,0.260905463149389,1,0.884,0.00055099899401604,"NKT","RPS2"
"HSP90B11",3.81657755221453e-08,0.769446548844445,0.648,0.458,0.000575654392200517,"NKT","HSP90B1"
"AAK11",3.88860787457398e-08,0.385678262994126,0.676,0.475,0.000586518725721994,"NKT","AAK1"
"TMED91",4.07445577468156e-08,0.387339716311654,0.574,0.395,0.00061455016449522,"NKT","TMED9"
"MYO1F1",4.23506633049877e-08,0.378349959591685,0.787,0.593,0.00063877505462913,"NKT","MYO1F"
"SEPT71",4.358556496625e-08,0.27687937259916,0.778,0.582,0.000657401076385948,"NKT","SEPT7"
"JUN",4.87095076191218e-08,0.489406746149856,0.315,0.146,0.000734685503419214,"NKT","JUN"
"RPL261",5.24969566618769e-08,0.269941379289202,0.991,0.86,0.000791811597331089,"NKT","RPL26"
"CCR5",5.36359475646075e-08,0.415171457504336,0.296,0.132,0.000808990997116975,"NKT","CCR5"
"PIM11",6.01386649501846e-08,0.378729378293389,0.593,0.385,0.000907071483443634,"NKT","PIM1"
"ANXA61",6.08596935470087e-08,0.325862635951671,0.694,0.444,0.000917946757769533,"NKT","ANXA6"
