"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"CDKN1C",1.27874681804879e-232,1.89880662061457,0.882,0.002,1.57196346342737e-228,"FCGR3A+ Monocyte","CDKN1C"
"HES4",1.5325382274466e-115,0.988158070690365,0.471,0.002,1.8839492430001e-111,"FCGR3A+ Monocyte","HES4"
"CSF1R",5.3008461919955e-109,1.25030141969955,0.667,0.019,6.51633022382007e-105,"FCGR3A+ Monocyte","CSF1R"
"TCF7L2",5.33318662295537e-100,1.03656534800927,0.549,0.011,6.55608631559904e-96,"FCGR3A+ Monocyte","TCF7L2"
"C5AR1",3.82026856308406e-96,0.897129361420146,0.608,0.017,4.69625614459923e-92,"FCGR3A+ Monocyte","C5AR1"
"MS4A7",1.53454075643459e-90,2.15728049619855,0.961,0.082,1.88641095188504e-86,"FCGR3A+ Monocyte","MS4A7"
"RP11-290F20.3",8.8120372653738e-90,1.87577625311858,0.98,0.085,1.0832637410324e-85,"FCGR3A+ Monocyte","RP11-290F20.3"
"CKB",4.94353883997465e-82,0.695174630693138,0.294,0,6.07709229598084e-78,"FCGR3A+ Monocyte","CKB"
"SIGLEC10",5.2432673510074e-81,0.975274325106537,0.549,0.019,6.4455485545934e-77,"FCGR3A+ Monocyte","SIGLEC10"
"KLF4",2.31236997905726e-80,1.07919426915415,0.627,0.028,2.84259641525509e-76,"FCGR3A+ Monocyte","KLF4"
"GPBAR1",2.91903181216577e-77,1.18979562045432,0.667,0.036,3.58836580669539e-73,"FCGR3A+ Monocyte","GPBAR1"
"FCGR3A",3.44864551851767e-73,2.31653324315872,1,0.135,4.23941993591377e-69,"FCGR3A+ Monocyte","FCGR3A"
"CXCL16",4.67360057757347e-72,0.835276779556917,0.471,0.015,5.74525719001107e-68,"FCGR3A+ Monocyte","CXCL16"
"PILRA",1.23900426004936e-71,1.28684227405908,0.725,0.051,1.52310793687867e-67,"FCGR3A+ Monocyte","PILRA"
"CDH23",3.74320651177173e-71,0.744187679916304,0.392,0.008,4.60152376492099e-67,"FCGR3A+ Monocyte","CDH23"
"WARS",6.202967564033e-70,1.35092535622713,0.745,0.056,7.62530802646576e-66,"FCGR3A+ Monocyte","WARS"
"MAFB",2.94853042023202e-69,1.16443544340134,0.686,0.044,3.62462844559122e-65,"FCGR3A+ Monocyte","MAFB"
"LRRC25",1.49579100056612e-68,1.26510599457478,0.765,0.062,1.83877587699593e-64,"FCGR3A+ Monocyte","LRRC25"
"SLC11A1",2.18201134307587e-68,1.09799590096139,0.667,0.043,2.68234654404317e-64,"FCGR3A+ Monocyte","SLC11A1"
"CFD",1.34103354826504e-67,1.96901288365092,0.961,0.118,1.64853254088221e-63,"FCGR3A+ Monocyte","CFD"
"SERPINA1",2.86692515834509e-66,2.12630813318998,1,0.149,3.52431109715362e-62,"FCGR3A+ Monocyte","SERPINA1"
"TPPP3",8.68525752173452e-66,0.943245419643508,0.471,0.018,1.06767870714682e-61,"FCGR3A+ Monocyte","TPPP3"
"CD68",7.26077202199707e-65,1.67298437994443,0.902,0.105,8.92566704664099e-61,"FCGR3A+ Monocyte","CD68"
"IFITM3",3.93674947174567e-64,2.16891519486276,0.961,0.14,4.83944612561695e-60,"FCGR3A+ Monocyte","IFITM3"
"CEACAM3",6.95791479384676e-64,0.543125901311195,0.294,0.003,8.55336465607582e-60,"FCGR3A+ Monocyte","CEACAM3"
"ZNF703",8.98131953236804e-62,0.743224280238574,0.373,0.01,1.104073610114e-57,"FCGR3A+ Monocyte","ZNF703"
"BCL2A1",8.57178033008161e-61,1.0526566469645,0.725,0.061,1.05372895597693e-56,"FCGR3A+ Monocyte","BCL2A1"
"RHOC",7.08178680876078e-60,1.55164563674415,0.843,0.095,8.70564052400962e-56,"FCGR3A+ Monocyte","RHOC"
"LILRB2",3.42059616415518e-58,0.985408962816769,0.667,0.053,4.20493886459596e-54,"FCGR3A+ Monocyte","LILRB2"
"CAMK1",5.6970913180982e-58,0.874038905075688,0.51,0.027,7.00343435733812e-54,"FCGR3A+ Monocyte","CAMK1"
"CDKN1A",1.20521330169122e-57,0.617735186837231,0.294,0.005,1.48156871176902e-53,"FCGR3A+ Monocyte","CDKN1A"
"LYN",2.511868964482e-55,1.38588783309108,0.824,0.1,3.08784051803772e-51,"FCGR3A+ Monocyte","LYN"
"HES1",1.02431668282582e-53,0.742180716683854,0.255,0.003,1.25919249819778e-49,"FCGR3A+ Monocyte","HES1"
"SPI1",1.75446313380422e-53,1.65804859566184,0.941,0.151,2.15676153038553e-49,"FCGR3A+ Monocyte","SPI1"
"PLAGL2",6.89673585432277e-53,0.67332958058962,0.392,0.015,8.47815738571898e-49,"FCGR3A+ Monocyte","PLAGL2"
"CTSL",1.62189209662298e-52,0.795105354605216,0.333,0.01,1.99379195437863e-48,"FCGR3A+ Monocyte","CTSL"
"TMEM176B",9.41780290836049e-52,1.32456464249683,0.804,0.099,1.15773051152476e-47,"FCGR3A+ Monocyte","TMEM176B"
"HCK",2.51611522038622e-51,1.42392103925952,0.725,0.082,3.09306044042079e-47,"FCGR3A+ Monocyte","HCK"
"LYPD2",6.98944913174799e-51,1.94106370819416,0.255,0.004,8.59212981765781e-47,"FCGR3A+ Monocyte","LYPD2"
"BATF3",1.3810630490395e-49,0.535804545033413,0.294,0.007,1.69774080618426e-45,"FCGR3A+ Monocyte","BATF3"
"EMR2",1.7996109228763e-49,0.698100598576612,0.373,0.015,2.21226170749184e-45,"FCGR3A+ Monocyte","EMR2"
"CEBPB",5.39165471572226e-49,1.97969166770058,1,0.242,6.62796114203737e-45,"FCGR3A+ Monocyte","CEBPB"
"HMOX1",6.22591013594844e-49,0.800787100817095,0.49,0.032,7.65351133012141e-45,"FCGR3A+ Monocyte","HMOX1"
"LILRA5",8.93433025110509e-49,0.842625131304484,0.49,0.032,1.09829721776835e-44,"FCGR3A+ Monocyte","LILRA5"
"LST1",1.338497596693e-48,2.41023057640744,1,0.274,1.6454150956147e-44,"FCGR3A+ Monocyte","LST1"
