"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"AC092580.4",9.52467089183409e-211,0.983658729191801,0.739,0.298,1.31516655674445e-206,"CD8AB+ T","AC092580.4"
"NKG7",4.51538869991448e-172,0.590502228027082,0.953,0.65,6.23484871684191e-168,"CD8AB+ T","NKG7"
"TMSB10",8.9151172193579e-165,0.348508394886377,1,0.995,1.23099938564894e-160,"CD8AB+ T","TMSB10"
"CD52",1.59435431634156e-162,0.545688569211543,0.957,0.744,2.20148444000443e-158,"CD8AB+ T","CD52"
"RPS29",3.45426255798253e-109,0.258454234327812,1,0.987,4.76964574006228e-105,"CD8AB+ T","RPS29"
"HCST",1.38844523825149e-105,0.541993041408682,0.807,0.535,1.91716518497766e-101,"CD8AB+ T","HCST"
"CCL5",2.94635512654817e-103,0.423211149540479,0.866,0.552,4.06832715873771e-99,"CD8AB+ T","CCL5"
"GZMH",1.6867491302636e-94,0.608839199148832,0.552,0.248,2.32906319906798e-90,"CD8AB+ T","GZMH"
"CRIP1",3.34256681045124e-87,0.556255620868722,0.72,0.427,4.61541625187107e-83,"CD8AB+ T","CRIP1"
"FGFBP2",2.82730594299566e-75,0.529598587242323,0.468,0.201,3.90394404608841e-71,"CD8AB+ T","FGFBP2"
"TMA7",1.09241251056053e-69,0.414056128335704,0.833,0.634,1.50840319458198e-65,"CD8AB+ T","TMA7"
"CST7",3.09774182526155e-66,0.486526321956713,0.531,0.269,4.27736191232115e-62,"CD8AB+ T","CST7"
"CD3D",2.19528077430378e-65,0.391591933402931,0.779,0.532,3.03124369315866e-61,"CD8AB+ T","CD3D"
"CD8A",1.43144539744216e-52,0.510256179086169,0.405,0.195,1.97653980478814e-48,"CD8AB+ T","CD8A"
"SERF2",3.57856344540004e-47,0.289297003801344,0.905,0.75,4.94128040540837e-43,"CD8AB+ T","SERF2"
"UQCR11.1",8.32537584746087e-45,0.341974848278839,0.732,0.541,1.1495678970174e-40,"CD8AB+ T","UQCR11.1"
"CCL4",1.75732761527967e-43,0.467909333611298,0.253,0.098,2.42651797117817e-39,"CD8AB+ T","CCL4"
"PTPRCAP",3.8041153185386e-43,0.335343805552404,0.63,0.412,5.25272243183809e-39,"CD8AB+ T","PTPRCAP"
"GZMM",1.19851723223097e-42,0.412370557622709,0.394,0.201,1.65491259426452e-38,"CD8AB+ T","GZMM"
"ATP5I",3.47980653168813e-41,0.378636542222684,0.632,0.435,4.80491685895497e-37,"CD8AB+ T","ATP5I"
"ATP5E",1.17705339995029e-34,0.251253043896611,0.877,0.753,1.62527533465136e-30,"CD8AB+ T","ATP5E"
"CD8B",1.65116780938655e-32,0.414315053992453,0.287,0.144,2.27993251120094e-28,"CD8AB+ T","CD8B"
"TCEB2",1.42897021288573e-31,0.327066403860477,0.621,0.447,1.97312206995262e-27,"CD8AB+ T","TCEB2"
"OST4",2.81017921346951e-31,0.31251112647748,0.644,0.485,3.8802954579587e-27,"CD8AB+ T","OST4"
"SH3BGRL3",2.62717172073792e-30,0.256987443604189,0.805,0.64,3.62759871199492e-26,"CD8AB+ T","SH3BGRL3"
"NDUFA3",6.541049399893e-30,0.398258796240236,0.491,0.341,9.03188101137226e-26,"CD8AB+ T","NDUFA3"
"MYEOV2",4.99508283821518e-29,0.391276534972018,0.424,0.279,6.89721038300752e-25,"CD8AB+ T","MYEOV2"
"NDUFA1",5.09273069399222e-29,0.351037649359373,0.497,0.344,7.03204254226446e-25,"CD8AB+ T","NDUFA1"
"UBL5",5.95997693132591e-29,0.311810067753243,0.593,0.43,8.22953614677482e-25,"CD8AB+ T","UBL5"
"RARRES3",1.80451036182448e-27,0.283339557367978,0.476,0.312,2.49166790760724e-23,"CD8AB+ T","RARRES3"
"IFI27L2",4.10710824874121e-27,0.441711568612933,0.298,0.172,5.67109506986186e-23,"CD8AB+ T","IFI27L2"
"PET100",7.07292729036169e-25,0.367864041770934,0.4,0.269,9.76629800253142e-21,"CD8AB+ T","PET100"
"NDUFB1",2.6902600110287e-24,0.336064629593875,0.452,0.315,3.71471102322843e-20,"CD8AB+ T","NDUFB1"
"LYAR",3.77291424912109e-24,0.316379187096902,0.316,0.184,5.2096399951864e-20,"CD8AB+ T","LYAR"
"CD2",1.0502544566381e-23,0.281468049034242,0.365,0.223,1.45019135372589e-19,"CD8AB+ T","CD2"
"CD99",1.91002354883641e-23,0.254272648024392,0.443,0.293,2.63736051623331e-19,"CD8AB+ T","CD99"
"COX7A2",2.57840227019311e-22,0.259524222980154,0.548,0.396,3.56025785468265e-18,"CD8AB+ T","COX7A2"
"IL2RG",2.58520006103809e-22,0.302828762127282,0.319,0.193,3.56964424428139e-18,"CD8AB+ T","IL2RG"
"LSMD1",3.11917395778368e-22,0.362226133635291,0.352,0.233,4.30695540090771e-18,"CD8AB+ T","LSMD1"
"USMG5",7.74861805009519e-20,0.258817962367918,0.508,0.371,1.06992918035714e-15,"CD8AB+ T","USMG5"
"MZT2B",1.65487124906333e-18,0.287648173705827,0.433,0.311,2.28504622070664e-14,"CD8AB+ T","MZT2B"
"C12orf75",5.37249689569963e-18,0.295660869827982,0.258,0.156,7.41834371358204e-14,"CD8AB+ T","C12orf75"
"PTPRC",6.48734465036657e-18,0.298318368157255,0.368,0.253,8.95772549322617e-14,"CD8AB+ T","PTPRC"
"C9orf142",2.17440616222718e-17,0.263019356405738,0.287,0.179,3.00242002880329e-13,"CD8AB+ T","C9orf142"
"FLNA",3.28645420824129e-17,0.260858993069257,0.359,0.243,4.53793597073958e-13,"CD8AB+ T","FLNA"
"LAT",5.28280382291605e-16,0.258138745949106,0.289,0.186,7.29449551868248e-12,"CD8AB+ T","LAT"
"UQCRQ",8.61495191226553e-16,0.269708800541811,0.371,0.266,1.18955256004562e-11,"CD8AB+ T","UQCRQ"
"NDUFB2",1.17104557313155e-15,0.252256331727287,0.42,0.312,1.61697972738004e-11,"CD8AB+ T","NDUFB2"
"UQCR10",2.61875462278191e-14,0.255742756909721,0.396,0.295,3.61597638313726e-10,"CD8AB+ T","UQCR10"
"FCER1A",2.06446896876358e-298,1.3451671491562,0.325,0.001,2.85061875206875e-294,"Neutrophils","FCER1A"
"CLEC10A",8.58522553762113e-249,1.50540350968227,0.337,0.003,1.18544794223473e-244,"Neutrophils","CLEC10A"
"CD1C",2.03321222709889e-230,1.07582556507036,0.277,0.001,2.80745944317814e-226,"Neutrophils","CD1C"
"CST3",8.02953616323097e-136,2.58418725803839,0.831,0.079,1.10871835341893e-131,"Neutrophils","CST3"
"CAPG",2.51555564252997e-128,1.27365827031732,0.434,0.018,3.47347923120539e-124,"Neutrophils","CAPG"
"LGALS2",4.00944253769915e-120,1.63679902929132,0.602,0.04,5.53623825605499e-116,"Neutrophils","LGALS2"
"GSN",8.63622329309687e-113,0.819730013488966,0.289,0.008,1.19248971231082e-108,"Neutrophils","GSN"
"SPI1",1.63754300429406e-108,1.31099539483034,0.47,0.026,2.26111938032924e-104,"Neutrophils","SPI1"
"HLA-DQA1",2.44387108904924e-108,1.65483639256445,0.723,0.067,3.37449719975919e-104,"Neutrophils","HLA-DQA1"
"CTSH",1.11902227204336e-95,1.00802839919176,0.434,0.025,1.54514595323747e-91,"Neutrophils","CTSH"
"LY86",7.42462410926779e-85,0.943693858049464,0.313,0.014,1.0251920970077e-80,"Neutrophils","LY86"
"CPVL",7.6338296110795e-84,1.19010648705429,0.386,0.023,1.05407919269786e-79,"Neutrophils","CPVL"
"FCER1G",3.06226042542512e-81,1.27917775606707,0.723,0.083,4.22836919542701e-77,"Neutrophils","FCER1G"
"LST1",2.83924485914376e-76,1.33023665336594,0.759,0.101,3.92042930150571e-72,"Neutrophils","LST1"
